Time,gen
8/29/2018 0:00,134.0337527
8/30/2018 0:00,148.7750847
8/31/2018 0:00,141.2272467
9/1/2018 0:00,116.8529377
9/2/2018 0:00,109.0743157
9/3/2018 0:00,131.3502897
9/4/2018 0:00,91.10799267
9/5/2018 0:00,137.0992677
9/6/2018 0:00,113.6859267
9/7/2018 0:00,137.0489017
9/8/2018 0:00,105.4164517
9/9/2018 0:00,134.3167287
9/10/2018 0:00,110.6742057
9/11/2018 0:00,80.41063067
9/12/2018 0:00,86.57630235
9/13/2018 0:00,97.85371988
9/14/2018 0:00,60.48174988
9/15/2018 0:00,88.73410188
9/16/2018 0:00,62.40493388
9/17/2018 0:00,47.83460488
9/18/2018 0:00,49.53299388
9/19/2018 0:00,83.38987488
9/20/2018 0:00,39.63805688
9/21/2018 0:00,79.62226288
9/22/2018 0:00,38.22415288
9/23/2018 0:00,59.58494188
9/24/2018 0:00,82.46708588
9/25/2018 0:00,86.23507488
9/26/2018 0:00,85.38404988
9/27/2018 0:00,83.19252288
9/28/2018 0:00,70.65450888
9/29/2018 0:00,82.06310488
9/30/2018 0:00,58.37478588
10/1/2018 0:00,78.36173188
10/2/2018 0:00,51.99372488
10/3/2018 0:00,75.32909888
10/4/2018 0:00,56.25951588
10/5/2018 0:00,67.08232788
10/6/2018 0:00,35.84183788
10/7/2018 0:00,70.41310788
10/8/2018 0:00,51.30298788
10/9/2018 0:00,71.34956388
10/10/2018 0:00,68.38384388
10/11/2018 0:00,36.85556888
10/12/2018 0:00,28.62904288
10/13/2018 0:00,39.30569588
10/14/2018 0:00,36.77666388
10/15/2018 0:00,29.52062388
10/16/2018 0:00,39.16146188
10/17/2018 0:00,43.06454388
10/18/2018 0:00,61.06968188
10/19/2018 0:00,61.88898488
10/20/2018 0:00,55.33182588
10/21/2018 0:00,60.07553688
10/22/2018 0:00,62.37528288
10/23/2018 0:00,49.85756488
10/24/2018 0:00,59.13988888
10/25/2018 0:00,51.11436688
10/26/2018 0:00,50.11507788
10/27/2018 0:00,47.96834188
10/28/2018 0:00,57.0385345
10/29/2018 0:00,41.65457988
10/30/2018 0:00,43.19735288
10/31/2018 0:00,53.38506788
11/1/2018 0:00,49.76914788
11/2/2018 0:00,52.99923188
11/3/2018 0:00,35.40400688
11/4/2018 0:00,27.04023388
11/5/2018 0:00,36.37717088
11/6/2018 0:00,35.41548088
11/7/2018 0:00,30.50333288
11/8/2018 0:00,41.08502288
11/9/2018 0:00,34.61026588
11/10/2018 0:00,37.66010388
11/11/2018 0:00,47.16445088
11/12/2018 0:00,38.52736488
11/13/2018 0:00,45.35235788
11/14/2018 0:00,30.29347988
11/15/2018 0:00,38.70359288
11/16/2018 0:00,31.86493988
11/17/2018 0:00,38.52088488
11/18/2018 0:00,43.94597888
11/19/2018 0:00,35.44402888
11/20/2018 0:00,30.47175488
11/21/2018 0:00,30.34157888
11/22/2018 0:00,42.99105488
11/23/2018 0:00,27.19935088
11/24/2018 0:00,25.03145088
11/25/2018 0:00,32.14643188
11/26/2018 0:00,37.42209088
11/27/2018 0:00,24.42309488
11/28/2018 0:00,26.40122988
11/29/2018 0:00,30.64704388
11/30/2018 0:00,36.62470088
12/1/2018 0:00,28.78544288
12/2/2018 0:00,26.73778588
12/3/2018 0:00,30.33047688
12/4/2018 0:00,34.44302688
12/5/2018 0:00,24.68654688
12/6/2018 0:00,27.12516988
12/7/2018 0:00,25.20900344
12/8/2018 0:00,12.307959
12/9/2018 0:00,14.257735
12/10/2018 0:00,19.609215
12/11/2018 0:00,13.465719
12/12/2018 0:00,17.927038
12/13/2018 0:00,18.229628
12/14/2018 0:00,18.80075
12/15/2018 0:00,7.380032
12/16/2018 0:00,13.375424
12/17/2018 0:00,20.354874
12/18/2018 0:00,7.771131
12/19/2018 0:00,19.198671
12/20/2018 0:00,16.735733
12/21/2018 0:00,14.353076
12/22/2018 0:00,14.920731
12/23/2018 0:00,11.666581
12/24/2018 0:00,12.374033
12/25/2018 0:00,12.310025
12/26/2018 0:00,16.08409
12/27/2018 0:00,17.1186
12/28/2018 0:00,14.79846
12/29/2018 0:00,10.697564
12/30/2018 0:00,13.015312
12/31/2018 0:00,15.47441144
1/1/2019 0:00,25.66827489
1/2/2019 0:00,30.69669589
1/3/2019 0:00,23.69421589
1/4/2019 0:00,27.92272889
1/5/2019 0:00,20.82780789
1/6/2019 0:00,21.17467689
1/7/2019 0:00,19.44064589
1/8/2019 0:00,29.84505389
1/9/2019 0:00,35.17571489
1/10/2019 0:00,27.39164689
1/11/2019 0:00,32.44572589
1/12/2019 0:00,25.48730889
1/13/2019 0:00,22.58441189
1/14/2019 0:00,27.40018989
1/15/2019 0:00,24.97716089
1/16/2019 0:00,28.29787989
1/17/2019 0:00,36.92251989
1/18/2019 0:00,25.79195489
1/19/2019 0:00,26.93772689
1/20/2019 0:00,30.58403189
1/21/2019 0:00,32.71538889
1/22/2019 0:00,30.15424889
1/23/2019 0:00,39.20341489
1/24/2019 0:00,27.47108289
1/25/2019 0:00,31.47456989
1/26/2019 0:00,27.40967389
1/27/2019 0:00,37.00806589
1/28/2019 0:00,42.31861089
1/29/2019 0:00,27.00091589
1/30/2019 0:00,44.93209989
1/31/2019 0:00,28.51480689
2/1/2019 0:00,17.45306889
2/2/2019 0:00,33.39859789
