Unix timestamp,STD Date Time,Quantity
"1,672,742,700",1/3/2023 10:45,0.14
"1,672,743,600",1/3/2023 11:00,0.14
"1,672,744,500",1/3/2023 11:15,0.14
"1,672,745,400",1/3/2023 11:30,0.14
"1,672,746,300",1/3/2023 11:45,0.14
"1,672,747,200",1/3/2023 12:00,0.14
"1,672,748,100",1/3/2023 12:15,0.14
"1,672,749,000",1/3/2023 12:30,0.14
"1,672,749,900",1/3/2023 12:45,0.14
"1,672,750,800",1/3/2023 13:00,0.14
"1,672,751,700",1/3/2023 13:15,0.14
"1,672,752,600",1/3/2023 13:30,0.14
"1,672,753,500",1/3/2023 13:45,0.14
"1,672,754,400",1/3/2023 14:00,0.14
"1,672,755,300",1/3/2023 14:15,0.14
"1,672,756,200",1/3/2023 14:30,0.14
"1,672,757,100",1/3/2023 14:45,0.14
"1,672,758,000",1/3/2023 15:00,0.14
"1,672,758,900",1/3/2023 15:15,0.14
"1,672,759,800",1/3/2023 15:30,0.14
"1,672,760,700",1/3/2023 15:45,0.14
"1,672,761,600",1/3/2023 16:00,0.14
"1,672,762,500",1/3/2023 16:15,0.14
"1,672,763,400",1/3/2023 16:30,0.14
"1,672,764,300",1/3/2023 16:45,0.14
"1,672,765,200",1/3/2023 17:00,0.14
"1,672,766,100",1/3/2023 17:15,0.14
"1,672,767,000",1/3/2023 17:30,0.14
"1,672,767,900",1/3/2023 17:45,0.14
"1,672,768,800",1/3/2023 18:00,0
"1,672,769,700",1/3/2023 18:15,0
"1,672,770,600",1/3/2023 18:30,0
"1,672,771,500",1/3/2023 18:45,0
"1,672,772,400",1/3/2023 19:00,0
"1,672,773,300",1/3/2023 19:15,0
"1,672,774,200",1/3/2023 19:30,0
"1,672,775,100",1/3/2023 19:45,0
"1,672,776,000",1/3/2023 20:00,0
"1,672,776,900",1/3/2023 20:15,0
"1,672,777,800",1/3/2023 20:30,0
"1,672,778,700",1/3/2023 20:45,0
"1,672,779,600",1/3/2023 21:00,0
"1,672,780,500",1/3/2023 21:15,0
"1,672,781,400",1/3/2023 21:30,0
